chilli chicken,0.0000000275,0.0001201680,0.9020241446
eggplant dish,0.0000000273,0.0001193324,0.9646554289
vegetable biryani,0.0000000272,0.0001189590,0.9616370098
indian beer,0.0000000271,0.0001184067,0.5656018465
shrimp vindaloo,0.0000000269,0.0001177633,0.9519712703
my favorite,0.0000000266,0.0001162228,0.1062064252
chick pea,0.0000000265,0.0001156499,0.9348868421
saag paneer,0.0000000263,0.0001149316,0.1858161747
peshwari naan,0.0000000257,0.0001125581,0.9857181863
chicken wings,0.0000000256,0.0001121036,0.9817383647
tikki masala,0.0000000255,0.0001117052,0.9782493508
masala dosai,0.0000000255,0.0001115262,0.9766811439
channa masala,0.0000000254,0.0001111543,0.9734243596
matter paneer,0.0000000254,0.0001109134,0.9713149045
onion bhaji,0.0000000253,0.0001106350,0.9688763742
carrot halwa,0.0000000252,0.0001101864,0.9649478028
red wine,0.0000000252,0.0001100678,0.8897629807
the dhaba,0.0000000251,0.0001095580,0.2172328210
great flavor,0.0000000250,0.0001092903,0.3704905485
onion naan,0.0000000247,0.0001078361,0.9443658767
great atmosphere,0.0000000246,0.0001073512,0.5372109494
pilau rice,0.0000000245,0.0001072487,0.9392217557
gobi manchurian,0.0000000245,0.0001071810,0.9386287207
as well,0.0000000243,0.0001061957,0.0400000000
tiki masala,0.0000000242,0.0001057777,0.9263394317
spiciest curry,0.0000000239,0.0001044069,0.9143344409
cheese naan,0.0000000235,0.0001029440,0.9834803888
pita bread,0.0000000233,0.0001020199,0.8934306288
al hamra,0.0000000232,0.0001012541,0.9673355422
regular naan,0.0000000231,0.0001009741,0.6632043523
chickpea ceviche,0.0000000230,0.0001007329,0.9623559655
chicken biriyani,0.0000000223,0.0000976898,0.9332842603
chau chau,0.0000000221,0.0000966820,0.9236558632
spicy food,0.0000000218,0.0000954084,0.1591487863
mango lassie,0.0000000218,0.0000952853,0.9103121372
tasted great,0.0000000215,0.0000942162,0.3667068962
chickpea curry,0.0000000213,0.0000931296,0.9786893338
lemon rice,0.0000000213,0.0000929111,0.9763939461
lamb saag,0.0000000210,0.0000917364,0.8764078549
salad bar,0.0000000209,0.0000913525,0.8727401250
lamb curry,0.0000000207,0.0000903327,0.1636719848
bhel puri,0.0000000203,0.0000887003,0.9321420907
if i,0.0000000202,0.0000884530,0.1176637813
fried cheese,0.0000000201,0.0000880102,0.8408096406
i love,0.0000000199,0.0000871762,0.0602714286
south asian,0.0000000199,0.0000867986,0.9121574652
india masala,0.0000000198,0.0000866511,0.1686310614
spinach curry,0.0000000194,0.0000849143,0.8923561951
chicken tika,0.0000000192,0.0000840954,0.9819444390
terrible service,0.0000000192,0.0000840813,0.8032742341
indian restaurants,0.0000000191,0.0000834818,0.0913856433
coconut chicken,0.0000000190,0.0000828774,0.9677229345
tamarind chutney,0.0000000186,0.0000811106,0.9470926101
awesome food,0.0000000182,0.0000797723,0.3991994059
indian dishes,0.0000000182,0.0000797356,0.1948681420
veggie samosa,0.0000000182,0.0000796771,0.9303544051
lamb samosa,0.0000000181,0.0000793016,0.8333725107
fresh food,0.0000000176,0.0000768268,0.3844593639
chicken madras,0.0000000175,0.0000766550,0.8950666133
tika masala,0.0000000171,0.0000748399,0.8738724759
buffet items,0.0000000170,0.0000745181,0.4350570779
medium spicy,0.0000000170,0.0000744795,0.4119458852
lamb masala,0.0000000167,0.0000730242,0.6976402931
indian pakistani,0.0000000163,0.0000710961,0.7471413329
excellent service,0.0000000160,0.0000701134,0.2456050530
indian takeaway,0.0000000160,0.0000698237,0.7337698467
friendly service,0.0000000159,0.0000696181,0.2151793493
lamb dish,0.0000000157,0.0000687830,0.4015741510
small portions,0.0000000156,0.0000683234,0.3988908334
excellent food,0.0000000154,0.0000674660,0.1611349050
curry dishes,0.0000000153,0.0000670007,0.3200470144
plain rice,0.0000000153,0.0000669098,0.4394679382
my friend,0.0000000153,0.0000668520,0.0807518797
happy hour,0.0000000152,0.0000663309,0.1834381294
authentic indian,0.0000000151,0.0000660423,0.3652800641
indian bistro,0.0000000144,0.0000630127,0.8277426359
indian style,0.0000000143,0.0000625446,0.2987612955
typical indian,0.0000000142,0.0000622296,0.5449708327
creamy sauce,0.0000000141,0.0000618557,0.5000274191
amazing food,0.0000000141,0.0000618409,0.1511349050
paneer tikka,0.0000000141,0.0000615524,0.9240678509
indian sampler,0.0000000140,0.0000613009,0.8052567803
chicken dishes,0.0000000140,0.0000612512,0.2011507272
meat dishes,0.0000000139,0.0000608742,0.3198603085
vegetarian dishes,0.0000000139,0.0000607801,0.1303533982
best indian,0.0000000139,0.0000606282,0.2359763436
india palace,0.0000000139,0.0000606260,0.0872756845
weekday lunch,0.0000000136,0.0000595407,0.6952302945
great service,0.0000000135,0.0000590926,0.0850681918
modern indian,0.0000000135,0.0000589141,0.7739032722
my husband,0.0000000132,0.0000578593,0.0907518797
indian village,0.0000000131,0.0000574496,0.6708137545
nice ambiance,0.0000000131,0.0000572605,0.6017445702
northern indian,0.0000000131,0.0000571044,0.8572924701
great prices,0.0000000130,0.0000570127,0.3328562351
fresh naan,0.0000000128,0.0000559050,0.2447917724
bad service,0.0000000126,0.0000549904,0.4815737130
quick service,0.0000000125,0.0000547716,0.4111352609
great experience,0.0000000125,0.0000546125,0.4099411830
delicious food,0.0000000125,0.0000544733,0.1122460161
customer service,0.0000000122,0.0000533751,0.0967092430
dinner buffet,0.0000000121,0.0000531198,0.1924934103
vegetable samosas,0.0000000121,0.0000529834,0.1988560271
chicken curries,0.0000000121,0.0000528736,0.5051302011
and i,0.0000000117,0.0000511133,0.0211474394
lunch special,0.0000000116,0.0000506846,0.1479555198
lunch menu,0.0000000115,0.0000504916,0.2792689476
buffet style,0.0000000115,0.0000503113,0.3110094621
our server,0.0000000114,0.0000497165,0.0607518797
tasting food,0.0000000112,0.0000490175,0.3679430674
the chicken,0.0000000112,0.0000487937,0.0502714286
pretty good,0.0000000112,0.0000487808,0.0523094688
dinner menu,0.0000000111,0.0000485241,0.2832973607
the bf,0.0000000110,0.0000481496,0.1874072396
great indian,0.0000000110,0.0000480514,0.4590613033
tandoori times,0.0000000108,0.0000471180,0.0853720899
vegas strip,0.0000000108,0.0000470372,0.8238491947
curry bowl,0.0000000105,0.0000457512,0.8013240716
veggie korma,0.0000000105,0.0000457000,0.2182984351
vegetarian dinner,0.0000000104,0.0000453010,0.7934397394
attentive service,0.0000000104,0.0000452545,0.2642085011
no flavor,0.0000000102,0.0000448129,0.2943336942
while i,0.0000000102,0.0000446831,0.1381088318
great place,0.0000000102,0.0000446521,0.1955185913
las vegas,0.0000000102,0.0000444606,0.0741638646
their naan,0.0000000102,0.0000444366,0.1945750215
lamb tikka,0.0000000102,0.0000444275,0.9337682442
dining experience,0.0000000100,0.0000436262,0.0975453687
tikka marsala,0.0000000100,0.0000435271,0.6534592815
masala chai,0.0000000099,0.0000433246,0.6504191040
my bf,0.0000000098,0.0000427183,0.2640720988
super friendly,0.0000000096,0.0000420898,0.2764487234
lamb dishes,0.0000000095,0.0000413327,0.2413115389
indian place,0.0000000093,0.0000406233,0.1334080456
the paneer,0.0000000093,0.0000405382,0.0687115874
bad food,0.0000000093,0.0000404753,0.3544593639
my wife,0.0000000092,0.0000403954,0.0707518797
strip mall,0.0000000092,0.0000400241,0.0876268505
buffet lunch,0.0000000091,0.0000396590,0.1984630915
chili sauce,0.0000000091,0.0000396242,0.3470055402
tasty food,0.0000000091,0.0000396233,0.1435853018
nice decor,0.0000000088,0.0000385981,0.2897308394
dal makhani,0.0000000087,0.0000379871,0.1478526857
coconut chutney,0.0000000085,0.0000373684,0.1707392424
taj palace,0.0000000085,0.0000371995,0.0781850624
chicken tikki,0.0000000085,0.0000371139,0.9750666133
indian curry,0.0000000084,0.0000366017,0.4808051256
veggie dishes,0.0000000082,0.0000357395,0.2209308394
my boyfriend,0.0000000082,0.0000356826,0.0707518797
spicy sauce,0.0000000081,0.0000355978,0.2672098236
great job,0.0000000081,0.0000352432,0.3086396840
since i,0.0000000079,0.0000345143,0.0788493431
this place,0.0000000079,0.0000344470,0.0100000000
has been,0.0000000078,0.0000342567,0.0400000000
menu items,0.0000000078,0.0000342314,0.1240464712
everything i,0.0000000078,0.0000341799,0.1282832504
indian chinese,0.0000000078,0.0000340979,0.7166630899
buffet line,0.0000000078,0.0000339566,0.5097808412
the saag,0.0000000077,0.0000335456,0.0979243128
vegetable dishes,0.0000000075,0.0000327962,0.2872098236
vegas area,0.0000000075,0.0000326581,0.5720019232
weekend buffet,0.0000000075,0.0000326011,0.3114562351
indian foods,0.0000000074,0.0000325362,0.3108356508
although i,0.0000000074,0.0000324536,0.1482832504
great price,0.0000000073,0.0000321229,0.3375765333
vegetarian vegan,0.0000000073,0.0000320557,0.2245800294
so yummy,0.0000000073,0.0000320480,0.2245260019
mount everest,0.0000000073,0.0000319288,0.0860351361
great selection,0.0000000073,0.0000317268,0.4763055105
vegetarian food,0.0000000072,0.0000314254,0.1435853018
food coma,0.0000000072,0.0000314001,0.2357002788
indian buffets,0.0000000071,0.0000311851,0.0840310710
vegan friendly,0.0000000071,0.0000311270,0.2044440982
favorite dishes,0.0000000070,0.0000307136,0.3227665948
aloo tikki,0.0000000070,0.0000306830,0.1289778336
curry house,0.0000000070,0.0000306628,0.1695958891
what i,0.0000000070,0.0000305408,0.0411474394
the cholas,0.0000000070,0.0000305274,0.1887115874
did not,0.0000000070,0.0000304504,0.0400000000
friendly staff,0.0000000069,0.0000302636,0.0691386100
indian dinner,0.0000000069,0.0000302048,0.3967745939
slow service,0.0000000069,0.0000300433,0.2104811194
absolutely delicious,0.0000000069,0.0000300378,0.1088497408
chicken cooked,0.0000000068,0.0000298921,0.3141328308
in short,0.0000000068,0.0000297164,0.1836983381
lamb korma,0.0000000067,0.0000294974,0.1722140413
indian spices,0.0000000067,0.0000294781,0.1936139956
absolutely love,0.0000000067,0.0000293882,0.6176758744
come here,0.0000000067,0.0000293085,0.0400000000
vegan options,0.0000000066,0.0000287552,0.1208742317
long wait,0.0000000065,0.0000286276,0.2507038434
mango custard,0.0000000064,0.0000277756,0.1536268871
chicken tiki,0.0000000063,0.0000276942,0.9701191927
food quality,0.0000000063,0.0000276069,0.1706576157
small restaurant,0.0000000063,0.0000273598,0.1916811194
new menu,0.0000000063,0.0000273587,0.2875094023
poor service,0.0000000062,0.0000273182,0.2050603443
great buffet,0.0000000062,0.0000270718,0.2032102875
pretty decent,0.0000000061,0.0000265637,0.1861032986
chicken dish,0.0000000061,0.0000265459,0.1394842994
ever had,0.0000000060,0.0000262635,0.0400000000
dining room,0.0000000060,0.0000261710,0.1375143376
tender chicken,0.0000000059,0.0000259643,0.2728562351
lunch buffets,0.0000000059,0.0000259160,0.1184126835
indian cooking,0.0000000059,0.0000259082,0.2094356508
lunch hour,0.0000000059,0.0000256991,0.2700689986
right now,0.0000000059,0.0000256639,0.1037305999
attentive staff,0.0000000058,0.0000254123,0.2967279335
my dad,0.0000000058,0.0000252087,0.2649155573
samosa factory,0.0000000057,0.0000249851,0.0729350341
food arrived,0.0000000057,0.0000249298,0.1378868383
grocery store,0.0000000056,0.0000246850,0.1297059645
indian music,0.0000000056,0.0000246354,0.2588912063
the lamb,0.0000000056,0.0000246005,0.0311474394
on sahara,0.0000000056,0.0000245466,0.2149645769
vegan dishes,0.0000000056,0.0000244565,0.2141757109
nice selection,0.0000000056,0.0000243115,0.2322608820
did i,0.0000000056,0.0000242963,0.1276637813
a bit,0.0000000055,0.0000242467,0.0123094688
fantastic service,0.0000000055,0.0000241678,0.2539772509
like i,0.0000000055,0.0000241561,0.0769255263
nepalese food,0.0000000055,0.0000241211,0.1810618383
fried chicken,0.0000000055,0.0000240858,0.2301048837
large portions,0.0000000055,0.0000238335,0.1926647103
great variety,0.0000000054,0.0000238196,0.2275615389
now i,0.0000000054,0.0000236856,0.1382832504
the husband,0.0000000054,0.0000236343,0.1774072396
along with,0.0000000054,0.0000235990,0.0400000000
pretty nice,0.0000000054,0.0000235853,0.1906584718
great quality,0.0000000054,0.0000235555,0.2062849432
indian fare,0.0000000053,0.0000230075,0.1343242278
meat options,0.0000000052,0.0000229461,0.1854906374
main dishes,0.0000000052,0.0000229424,0.1339443249
extra spicy,0.0000000052,0.0000228680,0.1092350704
indian grocery,0.0000000052,0.0000228486,0.6002833784
delicious indian,0.0000000052,0.0000226828,0.3972855828
the samosa,0.0000000052,0.0000226020,0.0766199649
too salty,0.0000000051,0.0000224221,0.1570874641
my friends,0.0000000051,0.0000222797,0.0320733083
an indian,0.0000000051,0.0000222293,0.0311474394
huge menu,0.0000000051,0.0000222124,0.2122074352
spice levels,0.0000000050,0.0000217673,0.1270837596
chutney bar,0.0000000049,0.0000216013,0.1418784950
large selection,0.0000000049,0.0000215902,0.2520992084
the vindaloo,0.0000000049,0.0000215037,0.0779243128
my heart,0.0000000049,0.0000214543,0.2049645769
pretty spicy,0.0000000049,0.0000213713,0.2495426828
main dish,0.0000000048,0.0000211964,0.1485003379
san francisco,0.0000000048,0.0000211680,0.1170800860
craving indian,0.0000000048,0.0000210365,0.2210702199
at namaste,0.0000000048,0.0000209273,0.1570874641
fantastic indian,0.0000000048,0.0000207937,0.5462977267
food court,0.0000000047,0.0000207127,0.0806175762
very friendly,0.0000000047,0.0000206736,0.0620733083
naan breads,0.0000000047,0.0000206095,0.1968938581
very disappointing,0.0000000047,0.0000205383,0.1962134396
overall i,0.0000000047,0.0000203580,0.1782832504
pretty small,0.0000000046,0.0000202902,0.1938437988
pretty cool,0.0000000046,0.0000201777,0.2356055402
pieces of,0.0000000046,0.0000201303,0.0423094688
oh my,0.0000000046,0.0000200829,0.1241466845
bad thing,0.0000000046,0.0000200621,0.1916640724
food tasted,0.0000000045,0.0000198636,0.2087450782
super spicy,0.0000000045,0.0000198439,0.1390248340
very nice,0.0000000045,0.0000198200,0.0330613485
everytime i,0.0000000045,0.0000197082,0.1882832504
great deal,0.0000000045,0.0000196847,0.4137298952
shrimp dish,0.0000000045,0.0000196149,0.1717756024
mixed vegetables,0.0000000044,0.0000193780,0.1851284991
traditional indian,0.0000000044,0.0000192683,0.0880385413
the nan,0.0000000044,0.0000192433,0.0879243128
vegetarian friendly,0.0000000044,0.0000191752,0.2015102738
before i,0.0000000043,0.0000189994,0.0688493431
do not,0.0000000043,0.0000189690,0.0311474394
regular menu,0.0000000043,0.0000189398,0.1531046334
nice inside,0.0000000043,0.0000189158,0.1987841235
makes it,0.0000000043,0.0000189150,0.0523094688
buffet only,0.0000000043,0.0000186621,0.1782896618
la carte,0.0000000042,0.0000185054,0.9723569379
old town,0.0000000042,0.0000184771,0.1618113801
great suggestions,0.0000000042,0.0000184662,0.1940598500
reasonable price,0.0000000042,0.0000182993,0.0769223224
wait staff,0.0000000042,0.0000182927,0.1067979905
mt everest,0.0000000042,0.0000182869,0.0619921552
very tasty,0.0000000042,0.0000181911,0.0318613485
star review,0.0000000041,0.0000180348,0.1184538435
curry dish,0.0000000041,0.0000179874,0.2362849432
great reviews,0.0000000041,0.0000178899,0.1880035509
the onion,0.0000000041,0.0000178074,0.0779733324
nice place,0.0000000041,0.0000177616,0.0933274889
curry houses,0.0000000041,0.0000177471,0.1695480296
highly recommended,0.0000000040,0.0000176794,0.0453149343
the riviera,0.0000000040,0.0000174666,0.1079733324
table service,0.0000000040,0.0000174467,0.1410349472
you can,0.0000000040,0.0000173187,0.0100000000
being indian,0.0000000040,0.0000173116,0.2274072396
the mango,0.0000000039,0.0000172270,0.0787115874
whenever i,0.0000000039,0.0000171063,0.1382832504
the bad,0.0000000039,0.0000170547,0.0779243128
beer selection,0.0000000039,0.0000170311,0.0715912003
tuk tuk,0.0000000039,0.0000169710,0.0990815740
excellent indian,0.0000000039,0.0000169615,0.5941542068
indian beers,0.0000000039,0.0000169460,0.1780842994
the dal,0.0000000039,0.0000169152,0.1367387509
mint indian,0.0000000039,0.0000169106,0.5923723130
yum yum,0.0000000039,0.0000168849,0.1774417251
the tikka,0.0000000038,0.0000167728,0.0979243128
vegetable pakoras,0.0000000038,0.0000166624,0.1945589139
the aloo,0.0000000038,0.0000165494,0.0966199649
glad i,0.0000000038,0.0000165212,0.1085122645
return visit,0.0000000037,0.0000163785,0.1721198694
date night,0.0000000037,0.0000163377,0.1320698533
in delhi,0.0000000037,0.0000163093,0.2856538123
belly dancing,0.0000000037,0.0000162741,0.0777375479
the groupon,0.0000000037,0.0000162018,0.0587115874
mother india,0.0000000037,0.0000161984,0.0895931472
on yelp,0.0000000037,0.0000161757,0.0320733083
so so,0.0000000037,0.0000161638,0.0772109251
range of,0.0000000037,0.0000161042,0.0423094688
will i,0.0000000037,0.0000160134,0.1682832504
multiple times,0.0000000036,0.0000159329,0.1522153585
the mosque,0.0000000036,0.0000159254,0.1673582200
as i,0.0000000036,0.0000158975,0.0211474394
do i,0.0000000036,0.0000158495,0.0876637813
their mango,0.0000000036,0.0000157535,0.2759206783
parking lot,0.0000000036,0.0000156368,0.0684687933
finish it,0.0000000036,0.0000155768,0.1023094688
we ate,0.0000000035,0.0000155187,0.0407710073
